# SCV canonical PEOPLE — sourced from https://scvhistory.wpengine.com/people/
# Add new names below. Lines starting with # are comments. Blank lines ignored.
# Format: "Last, First" or "Last, First [Suffix]" (SCV convention).
# Some entries are not individual people (e.g., "Artists (Fine Arts)",
# "Sheriffs of L.A. County") — treated as PERSON for now; retag later.

Ables, Elmer R.L. Jr.
Acosta, Dante
Acosta, Rodolfo
Acosta, Rudy Alexander
Acuna, Henry
Adams, Adrian
Adelini, Al
Agajanian Family
Agajanian, J.C.
Aguirre, Jose Antonio
Alamo, Tony
Ali, Hadji (Hi Jolly)
Allen, Don
Allen, Pat & Sheldon
Alleyn, George
Alonso, Juan
Anderson, Bob
Antonovich, Michael D.
Araujo, Pablo
Armantha Thibaudeau
Arness, James
Asher Family
Asher, Jefferson
Ashley, Janis
Austin, Clarence
Autry, Gene
Ayers, George
Babko, Bob
Backer, James S.
Baker, David
Baker, Roy
Baldessari, John
Baldwin, E.J. 'Lucky'
Balestra, John
Ball, James Robert
Ballard, Mike
Balsz, Joseph B.
Bancroft, Hubert H.
Banning, Phineas
Bard, Thomas A.
Barger, Kathryn
Barlow, Scott A.
Barnett, Mike
Bartlett, James Arthur
Barton, Buzz (William Lamoreaux)
Basham, Roger & Becki
Bass, Charlotta
Bass, Deborah S.
Batugo, Bobby
Bauccio, Lois
Bauregard, Linda
Beale, Edward F.
Beall, Archibald Kelly
Becerra, Glenn
Belderrain, Francisca Lopez
Bell, Harry
Bell, Horace
Bell, Ralph
Beltzel, Jack
Benz Family of Bouquet Canyon
Bercaw Family of Saugus
Berens, Brad
Berger, Michael
Bergstrom, John
Berkey, Charles P.
Best, Gerald M.
Billet, Ray & Elizabeth Blum
Bingham, Robert
Bird, Larry & Sue
Biscailuz Family
Biscailuz, Eugene
Bitzer, Billy
Bjorkman, Ann-Marie & Mike
Blake, Amanda
Bledsoe, Dan
Block, Sherman
Blum, George
Bolde, Bill
Bolden, Ed
Bonelli Family
Bonelli, Dr. William G. Jr.
Bonelli, Joyce
Bonelli, William G.
Boone, Dianna
Boone, John
Bordelon Family (Honby)
Borders, John William Jr.
Boston, John
Bowman, Jereann
Boyd, William (Hoppy)
Boydston, Tim
Boyer, Carl
Boyer, Jack
Boykin, Jim
Bradbury, Ray
Braly, Hunt
Brathwaite, Louis
Brawley, Bill
Brevidoro Family
Brewer, Sarah
Brigandi, Phil
Briner, Arthur N.
Brooks, Mel
Broome, William
Brotzman, Paul
Broutt, Herb
Brown, Blanche
Brown, Ed (Constable)
Brown, Edmund G. "Jerry"
Brown, Edmund G. "Pat"
Brown, Gency
Brown, Johnny Mack
Brown, Peter
Bryne, Stephen
Buffham, Les
Burke, Betty
Burke, Gene
Burkhart, Tim
Burton, Billy
Burton, Tim
Bush, George H.W.
Bustos, Crystl
Byram, H. Keith & Virginia
Cain, Ace
Calczynski, Roman
Campbell, Minnie Nancy
Campton, George
Canty, Elijah & Miriam
Canutt, Yakima
Caravalho, George
Carewe, Edwin
Carey, Harry Jr.
Carey, Harry Sr.
Carey, Olive Fuller Golden
Carillo, Leo
Carpenter, John
Carr, Trem
Carter, Archie
Caystile, Kate A.
Cederoth, Bruce
Cesena Family of Newhall
Chacanaca Family
Chambers, Carol
Chandler, Harry
Chandler, Jon
Chaney, Lon Jr.
Chaplin, Charlie
Chari, Francisco
Charles M. Russell
Cheek, Tru
Cheney Family of Pico
Cherry, Perry Leon
Chesebrough, Robert Newhall
Child, Katherine
Choppe, Gary
Chormicle, William
Christopher, Maria
Chu, Judy
Chumash Culture
Claffey, Francis T.
Clark, Chuck & Ruth
Clark, William J.
Cloughery Family
Cochran, Barbara & Russ
Colbert, Steve
Coldewey, Tony & Geri
Colley, Stephen Edward
